Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Status
8/29/20 8:14 PM,5-2912,Sale,132.00,0.00,132.00,0.00,132.00,0.00,132.00,Card,"1 x Nasi Goreng Kampung (Beef), 1 x Carbonara (Seafood), 1 x Carbonara (Chicken), 1 x Thai Basil Chicken, 1 x Kaya Toast, 2 x Lemon Tea (Iced), 3 x Mineral Water (Iced), 1 x Teh Tarik (Hot), 1 x Tea (Iced), 1 x Bulgogi Beef Fries, 1 x Weekly Promo Food, 1 x Tea WP (Iced), 1 x Aglio Olio (Beef), 1 x Married Salted Caramel",Table 8,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 8:12 PM,5-2911,Sale,12.00,0.00,12.00,0.00,12.00,0.00,12.00,Card,1 x Married Salted Caramel,Table 6,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 8:09 PM,5-2910,Sale,76.00,0.00,76.00,0.00,76.00,0.00,76.00,Card,"2 x Honey Chilli Chicken, 2 x Weekly Promo Food, 1 x Salted Egg Chicken, 2 x Tea WP (Iced), 1 x Soy Glazed Chicken, 1 x Mineral Water (Iced)",Table 6,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 8:07 PM,5-2909,Sale,31.50,0.00,31.50,0.00,31.50,0.00,31.50,Card,"1 x Carbonara (Chicken), 2 x Teh Tarik (Hot), 1 x Peanut Butter Toast, 1 x Kaya Toast, 1 x Extra Charge Kitchen, 1 x Fries",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:58 PM,5-2908,Sale,29.00,0.00,29.00,0.00,29.00,0.00,29.00,Card,"1 x Creamy Curry (Chicken), 1 x Butter Chicken, 1 x Tea (Iced)",Table 11,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:56 PM,5-2907,Sale,13.50,0.00,13.50,0.00,13.50,0.00,13.50,Cash,1 x Carbonara (Chicken),Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:54 PM,5-2906,Sale,12.00,0.00,12.00,0.00,12.00,0.00,12.00,Cash,1 x Married Salted Caramel,Out 2,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:53 PM,5-2905,Sale,84.00,0.00,84.00,0.00,84.00,0.00,84.00,Cash,"1 x Classic Grilled Cheese, 1 x Arabiatta (Chicken), 1 x Salted Caramel Latte (Iced), 1 x Tea (Iced), 1 x A&W Root Beer, 1 x Creme Brulee Latte (Iced), 1 x Extra Charge Bar, 1 x Big Breakfast (Scrambled)",Out 2,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:50 PM,5-2904,Sale,3.00,0.00,3.00,0.00,3.00,0.00,3.00,Cash,1 x Mineral Water (Iced),Table 1,POS 2020,Glaze Eatery,Owner,,,Closed
8/29/20 7:49 PM,5-2903,Sale,26.00,0.00,26.00,0.00,26.00,0.00,26.00,Cash,2 x Salted Caramel Latte (Iced),Table 9,POS 2020,Glaze Eatery,Owner,,,Closed
